,Precinct,OfnsDesc,CrimeCount
327,14,POSSESSION OF STOLEN PROPERTY 5,3174
328,14,FRAUDS,39
329,14,KIDNAPPING & RELATED OFFENSES,2
330,14,JOSTLING,2
331,14,GAMBLING,7
332,14,OTHER STATE LAWS (NON PENAL LAW),852
333,14,DANGEROUS DRUGS,830
334,14,BURGLAR'S TOOLS,13
335,14,GRAND LARCENY OF MOTOR VEHICLE,1
336,14,MOVING INFRACTIONS,5
337,14,ALCOHOLIC BEVERAGE CONTROL LAW,21
338,14,PETIT LARCENY,641
339,14,DISRUPTION OF A RELIGIOUS SERVICE,1
340,14,FRAUDULENT ACCOSTING,75
341,14,OTHER OFFENSES RELATED TO THEFT,2099
342,14,PROSTITUTION & RELATED OFFENSES,48
343,14,POSSESSION OF STOLEN PROPERTY,75
344,14,RAPE,5
345,14,OFFENSES RELATED TO CHILDREN,6
346,14,ARSON,1
347,14,OTHER STATE LAWS,2464
348,14,LOITERING,50
349,14,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
350,14,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),7
351,14,OTHER STATE LAWS (NON PENAL LA,23
352,14,ROBBERY,110
353,14,VEHICLE AND TRAFFIC LAWS,113
354,14,FORGERY,404
355,14,DANGEROUS WEAPONS,300
356,14,ESCAPE 3,1
357,14,OFFENSES AGAINST THE PERSON,29
358,14,MISCELLANEOUS PENAL LAW,306
359,14,FELONY ASSAULT,167
360,14,CRIMINAL TRESPASS,389
361,14,FORCIBLE TOUCHING,124
362,14,BURGLARY,164
363,14,OFFENSES AGAINST PUBLIC ADMINISTRATION,358
364,14,INTOXICATED/IMPAIRED DRIVING,9
365,14,ADMINISTRATIVE CODE,17
366,14,ASSAULT 3 & RELATED OFFENSES,445
367,14,GRAND LARCENY,452
368,14,DISORDERLY CONDUCT,253
369,14,HARASSMENT,19
370,14,OTHER TRAFFIC INFRACTION,462
371,14,CRIMINAL MISCHIEF & RELATED OFFENSES,184
372,14,OFFENSES AGAINST PUBLIC SAFETY,4
373,14,HARRASSMENT 2,8
374,14,THEFT-FRAUD,95
375,14,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,193
376,14,INTOXICATED & IMPAIRED DRIVING,101
377,14,F.C.A. P.I.N.O.S.,36
378,14,MURDER & NON-NEGL. MANSLAUGHTER,2
379,17,OTHER OFFENSES RELATED TO THEFT,105
380,17,GRAND LARCENY,86
381,17,POSSESSION OF STOLEN PROPERTY 5,125
382,17,FELONY ASSAULT,49
383,17,ROBBERY,27
384,17,PETIT LARCENY,39
385,17,BURGLAR'S TOOLS,6
386,17,CRIMINAL MISCHIEF & RELATED OFFENSES,54
387,17,OTHER STATE LAWS,146
388,17,FORCIBLE TOUCHING,24
389,17,GRAND LARCENY OF MOTOR VEHICLE,3
390,17,FORGERY,69
391,17,OTHER STATE LAWS (NON PENAL LAW),120
392,17,DISORDERLY CONDUCT,85
393,17,DANGEROUS DRUGS,97
394,17,SEX CRIMES,7
395,17,OFFENSES AGAINST THE PERSON,10
396,17,THEFT-FRAUD,9
397,17,FRAUDS,3
398,17,PROSTITUTION & RELATED OFFENSES,20
399,17,ASSAULT 3 & RELATED OFFENSES,169
400,17,CRIMINAL TRESPASS,30
401,17,INTOXICATED & IMPAIRED DRIVING,41
402,17,VEHICLE AND TRAFFIC LAWS,82
403,17,MISCELLANEOUS PENAL LAW,40
404,17,HARASSMENT,5
405,17,OFFENSES AGAINST PUBLIC ADMINISTRATION,42
406,17,INTOXICATED/IMPAIRED DRIVING,6
407,17,POSSESSION OF STOLEN PROPERTY,11
408,17,GAMBLING,16
409,17,DANGEROUS WEAPONS,20
410,17,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),1
411,17,MURDER & NON-NEGL. MANSLAUGHTER,1
412,17,FRAUDULENT ACCOSTING,1
413,17,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,20
414,17,F.C.A. P.I.N.O.S.,1
415,17,ALCOHOLIC BEVERAGE CONTROL LAW,1
416,17,BURGLARY,13
417,17,MOVING INFRACTIONS,16
418,17,OTHER TRAFFIC INFRACTION,284
419,17,OFFENSES INVOLVING FRAUD,14
420,18,OTHER STATE LAWS (NON PENAL LAW),482
421,18,CRIMINAL MISCHIEF & RELATED OFFENSES,106
422,18,MOVING INFRACTIONS,5
423,18,INTOXICATED/IMPAIRED DRIVING,4
424,18,FELONY ASSAULT,89
425,18,FRAUDS,13
426,18,HARRASSMENT 2,8
427,18,ANTICIPATORY OFFENSES,1
428,18,GAMBLING,2
429,18,FRAUDULENT ACCOSTING,51
430,18,HARASSMENT,23
431,18,FORGERY,122
432,18,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),6
433,18,LOITERING FOR DRUG PURPOSES,2
434,18,DANGEROUS WEAPONS,109
435,18,CRIMINAL TRESPASS,63
436,18,OFFENSES AGAINST THE PERSON,28
437,18,GRAND LARCENY OF MOTOR VEHICLE,1
438,18,OTHER OFFENSES RELATED TO THEFT,219
439,18,F.C.A. P.I.N.O.S.,5
440,18,OTHER TRAFFIC INFRACTION,117
441,18,GRAND LARCENY,276
442,18,MISCELLANEOUS PENAL LAW,64
443,18,THEFT-FRAUD,36
444,18,SEX CRIMES,21
445,18,ARSON,1
446,18,JOSTLING,5
447,18,DISORDERLY CONDUCT,147
448,18,INTOXICATED & IMPAIRED DRIVING,72
449,18,OTHER STATE LAWS,644
450,18,PETIT LARCENY,146
451,18,KIDNAPPING & RELATED OFFENSES,4
452,18,FORCIBLE TOUCHING,24
453,18,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,49
454,18,BURGLARY,85
455,18,RAPE,5
456,18,ROBBERY,59
457,18,BURGLAR'S TOOLS,9
458,18,DANGEROUS DRUGS,896
459,18,OFFENSES INVOLVING FRAUD,135
460,18,MURDER & NON-NEGL. MANSLAUGHTER,5
461,18,VEHICLE AND TRAFFIC LAWS,39
462,18,OFFENSES AGAINST PUBLIC ADMINISTRATION,134
463,18,ALCOHOLIC BEVERAGE CONTROL LAW,4
464,18,OTHER STATE LAWS (NON PENAL LA,3
465,18,PROSTITUTION & RELATED OFFENSES,161
466,18,POSSESSION OF STOLEN PROPERTY 5,729
467,18,POSSESSION OF STOLEN PROPERTY,27
468,18,ASSAULT 3 & RELATED OFFENSES,302
469,19,OFFENSES INVOLVING FRAUD,22
470,19,OTHER OFFENSES RELATED TO THEFT,164
471,19,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),2
472,19,THEFT-FRAUD,24
473,19,MOVING INFRACTIONS,8
474,19,FELONY ASSAULT,65
475,19,PROSTITUTION & RELATED OFFENSES,24
476,19,KIDNAPPING & RELATED OFFENSES,2
477,19,CRIMINAL MISCHIEF & RELATED OFFENSES,109
478,19,OTHER TRAFFIC INFRACTION,298
479,19,BURGLAR'S TOOLS,9
480,19,DISORDERLY CONDUCT,49
481,19,OTHER STATE LAWS,129
482,19,FRAUDS,17
