,SchoolDist,OfnsDesc,CrimeCount
342,7,FORCIBLE TOUCHING,30
343,7,DANGEROUS WEAPONS,515
344,7,ASSAULT 3 & RELATED OFFENSES,1209
345,7,OTHER OFFENSES RELATED TO THEFT,1314
346,7,OTHER TRAFFIC INFRACTION,200
347,7,MISCELLANEOUS PENAL LAW,202
348,7,OFFENSES INVOLVING FRAUD,20
349,7,FORGERY,44
350,7,RAPE,15
351,7,VEHICLE AND TRAFFIC LAWS,116
352,7,INTOXICATED/IMPAIRED DRIVING,6
353,7,PETIT LARCENY,328
354,7,OTHER STATE LAWS (NON PENAL LA,30
355,7,DISORDERLY CONDUCT,13
356,7,OTHER STATE LAWS (NON PENAL LAW),92
357,7,DANGEROUS DRUGS,3788
358,7,OTHER STATE LAWS,385
359,7,POSSESSION OF STOLEN PROPERTY 5,212
360,7,ROBBERY,317
361,7,F.C.A. P.I.N.O.S.,52
362,7,PROSTITUTION & RELATED OFFENSES,12
363,8,HARRASSMENT 2,8
364,8,CRIMINAL MISCHIEF & RELATED OFFENSES,419
365,8,GAMBLING,8
366,8,OTHER STATE LAWS (NON PENAL LAW),69
367,8,ROBBERY,455
368,8,VEHICLE AND TRAFFIC LAWS,256
369,8,OTHER STATE LAWS,196
370,8,OFFENSES AGAINST PUBLIC SAFETY,11
371,8,FORCIBLE TOUCHING,33
372,8,HARASSMENT,161
373,8,SEX CRIMES,184
374,8,OFFENSES INVOLVING FRAUD,27
375,8,BURGLARY,193
376,8,PROSTITUTION & RELATED OFFENSES,474
377,8,GRAND LARCENY,171
378,8,MOVING INFRACTIONS,22
379,8,OFFENSES AGAINST PUBLIC ADMINISTRATION,1174
380,8,THEFT-FRAUD,9
381,8,DISORDERLY CONDUCT,10
382,8,CHILD ABANDONMENT/NON SUPPORT 1,3
383,8,F.C.A. P.I.N.O.S.,33
384,8,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,2
385,8,BURGLAR'S TOOLS,2
386,8,FORGERY,92
387,8,POSSESSION OF STOLEN PROPERTY,30
388,8,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),15
389,8,OTHER OFFENSES RELATED TO THEFT,471
390,8,CRIMINAL MISCHIEF & RELATED OF,1
391,8,MISCELLANEOUS PENAL LAW,526
392,8,OFFENSES AGAINST THE PERSON,102
393,8,CRIMINAL TRESPASS,1245
394,8,OTHER STATE LAWS (NON PENAL LA,39
395,8,FRAUDS,51
396,8,FELONY ASSAULT,618
397,8,INTOXICATED & IMPAIRED DRIVING,299
398,8,MURDER & NON-NEGL. MANSLAUGHTER,51
399,8,DANGEROUS DRUGS,4296
400,8,KIDNAPPING & RELATED OFFENSES,5
401,8,RAPE,117
402,8,POSSESSION OF STOLEN PROPERTY 5,272
403,8,GRAND LARCENY OF MOTOR VEHICLE,38
404,8,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,369
405,8,JOSTLING,1
406,8,ALCOHOLIC BEVERAGE CONTROL LAW,1
407,8,PETIT LARCENY,289
408,8,OFFENSES RELATED TO CHILDREN,4
409,8,ARSON,6
410,8,INTOXICATED/IMPAIRED DRIVING,21
411,8,DANGEROUS WEAPONS,602
412,8,OTHER TRAFFIC INFRACTION,398
413,8,ASSAULT 3 & RELATED OFFENSES,1760
414,9,FRAUDS,113
415,9,PETIT LARCENY,386
416,9,DISORDERLY CONDUCT,39
417,9,INTOXICATED & IMPAIRED DRIVING,111
418,9,CRIMINAL TRESPASS,1683
419,9,ALCOHOLIC BEVERAGE CONTROL LAW,12
420,9,OTHER OFFENSES RELATED TO THEFT,1127
421,9,F.C.A. P.I.N.O.S.,80
422,9,BURGLAR'S TOOLS,8
423,9,HARRASSMENT 2,6
424,9,ROBBERY,526
425,9,OFFENSES INVOLVING FRAUD,87
426,9,DANGEROUS WEAPONS,1239
427,9,POSSESSION OF STOLEN PROPERTY,46
428,9,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),13
429,9,DANGEROUS DRUGS,6761
430,9,FORCIBLE TOUCHING,31
431,9,OTHER TRAFFIC INFRACTION,786
432,9,RAPE,20
433,9,LOITERING FOR DRUG PURPOSES,4
434,9,CRIMINAL MISCHIEF & RELATED OF,2
435,9,GRAND LARCENY,341
436,9,MOVING INFRACTIONS,13
437,9,MURDER & NON-NEGL. MANSLAUGHTER,82
438,9,MISCELLANEOUS PENAL LAW,343
439,9,ARSON,4
440,9,GRAND LARCENY OF MOTOR VEHICLE,31
441,9,POSSESSION OF STOLEN PROPERTY 5,293
442,9,INTOXICATED/IMPAIRED DRIVING,9
443,9,FELONY ASSAULT,612
444,9,OFFENSES AGAINST PUBLIC ADMINISTRATION,1016
445,9,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
446,9,OFFENSES AGAINST THE PERSON,162
447,9,ASSAULT 3 & RELATED OFFENSES,1853
448,9,OTHER STATE LAWS (NON PENAL LAW),246
449,9,KIDNAPPING & RELATED OFFENSES,7
450,9,SEX CRIMES,99
451,9,CRIMINAL MISCHIEF & RELATED OFFENSES,422
452,9,FORGERY,263
453,9,BURGLARY,158
454,9,OFFENSES AGAINST PUBLIC SAFETY,8
455,9,ESCAPE 3,1
456,9,PROSTITUTION & RELATED OFFENSES,67
457,9,HARASSMENT,61
458,9,CHILD ABANDONMENT/NON SUPPORT 1,3
459,9,GAMBLING,71
460,9,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,743
461,9,THEFT-FRAUD,32
462,9,OFFENSES RELATED TO CHILDREN,33
463,9,OTHER STATE LAWS,170
464,9,VEHICLE AND TRAFFIC LAWS,288
465,9,ANTICIPATORY OFFENSES,3
466,9,OTHER STATE LAWS (NON PENAL LA,105
467,10,ROBBERY,665
468,10,CHILD ABANDONMENT/NON SUPPORT 1,2
469,10,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),29
470,10,HARASSMENT,99
471,10,OFFENSES INVOLVING FRAUD,125
472,10,"LOITERING/GAMBLING (CARDS, DICE, ETC)",1
473,10,POSSESSION OF STOLEN PROPERTY 5,587
474,10,PROSTITUTION & RELATED OFFENSES,173
475,10,HOMICIDE-NEGLIGENT-VEHICLE,2
476,10,OTHER STATE LAWS (NON PENAL LA,105
477,10,PETIT LARCENY,860
478,10,RAPE,19
479,10,FORCIBLE TOUCHING,27
480,10,FELONY ASSAULT,706
481,10,PARKING OFFENSES,1
482,10,INTOXICATED/IMPAIRED DRIVING,18
483,10,JOSTLING,1
484,10,KIDNAPPING & RELATED OFFENSES,16
485,10,THEFT-FRAUD,15
486,10,OTHER STATE LAWS,849
487,10,OFFENSES AGAINST THE PERSON,153
488,10,OFFENSES AGAINST PUBLIC ADMINISTRATION,917
489,10,ALCOHOLIC BEVERAGE CONTROL LAW,15
490,10,HARRASSMENT 2,3
491,10,VEHICLE AND TRAFFIC LAWS,526
492,10,DISORDERLY CONDUCT,33
493,10,DANGEROUS WEAPONS,1522
494,10,POSSESSION OF STOLEN PROPERTY,73
495,10,OTHER OFFENSES RELATED TO THEFT,1530
496,10,INTOXICATED & IMPAIRED DRIVING,247
497,10,SEX CRIMES,69
498,10,CRIMINAL TRESPASS,1549
499,10,GRAND LARCENY OF MOTOR VEHICLE,34
500,10,FORGERY,256
501,10,MISCELLANEOUS PENAL LAW,413
502,10,GRAND LARCENY,273
503,10,UNLAWFUL POSS. WEAP. ON SCHOOL GROUNDS,1
504,10,OFFENSES RELATED TO CHILDREN,7
505,10,GAMBLING,60
506,10,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,291
507,10,ARSON,6
508,10,ASSAULT 3 & RELATED OFFENSES,2249
509,10,OTHER STATE LAWS (NON PENAL LAW),316
510,10,MURDER & NON-NEGL. MANSLAUGHTER,45
511,10,DANGEROUS DRUGS,7147
512,10,MOVING INFRACTIONS,48
513,10,FRAUDS,75
514,10,F.C.A. P.I.N.O.S.,219
515,10,OFFENSES AGAINST PUBLIC SAFETY,7
516,10,FRAUDULENT ACCOSTING,3
517,10,BURGLARY,206
518,10,CRIMINAL MISCHIEF & RELATED OFFENSES,512
519,10,BURGLAR'S TOOLS,13
520,10,OTHER TRAFFIC INFRACTION,1326
521,11,POSSESSION OF STOLEN PROPERTY,31
522,11,UNAUTHORIZED USE OF A VEHICLE 3 (UUV),25
523,11,FORCIBLE TOUCHING,25
524,11,OFFENSES AGAINST PUBLIC SAFETY,14
525,11,GRAND LARCENY,147
526,11,OFFENSES AGAINST THE PERSON,59
527,11,THEFT-FRAUD,24
528,11,DISORDERLY CONDUCT,6
529,11,FORGERY,88
530,11,DANGEROUS DRUGS,3254
531,11,DANGEROUS WEAPONS,684
532,11,OTHER STATE LAWS (NON PENAL LAW),24
533,11,OTHER STATE LAWS (NON PENAL LA,41
534,11,SEX CRIMES,43
535,11,CRIMINAL MISCHIEF & RELATED OF,1
536,11,OTHER STATE LAWS,334
537,11,F.C.A. P.I.N.O.S.,44
538,11,CRIMINAL MISCHIEF & RELATED OFFENSES,370
539,11,KIDNAPPING & RELATED OFFENSES,5
540,11,PETIT LARCENY,348
541,11,INTOXICATED & IMPAIRED DRIVING,123
542,11,CRIMINAL TRESPASS,538
543,11,FRAUDS,22
544,11,BURGLARY,192
545,11,GAMBLING,5
546,11,CHILD ABANDONMENT/NON SUPPORT 1,3
547,11,ALCOHOLIC BEVERAGE CONTROL LAW,7
548,11,OFFENSES INVOLVING FRAUD,36
549,11,VEHICLE AND TRAFFIC LAWS,224
550,11,POSSESSION OF STOLEN PROPERTY 5,473
551,11,MISCELLANEOUS PENAL LAW,227
552,11,INTOXICATED/IMPAIRED DRIVING,10
553,11,MURDER & NON-NEGL. MANSLAUGHTER,78
554,11,GRAND LARCENY OF MOTOR VEHICLE,27
555,11,ASSAULT 3 & RELATED OFFENSES,1517
556,11,HOMICIDE-NEGLIGENT-VEHICLE,1
557,11,MOVING INFRACTIONS,11
558,11,BURGLAR'S TOOLS,11
559,11,HARRASSMENT 2,3
560,11,OFFENSES RELATED TO CHILDREN,3
561,11,OFFENSES AGAINST PUBLIC ADMINISTRATION,429
562,11,PROSTITUTION & RELATED OFFENSES,90
563,11,ROBBERY,586
564,11,ANTICIPATORY OFFENSES,2
565,11,ARSON,5
566,11,OTHER OFFENSES RELATED TO THEFT,611
567,11,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,205
568,11,HARASSMENT,63
569,11,FELONY ASSAULT,531
570,11,RAPE,15
571,11,OTHER TRAFFIC INFRACTION,490
572,12,CRIMINAL TRESPASS,1126
573,12,OFFENSES INVOLVING FRAUD,36
574,12,OTHER OFFENSES RELATED TO THEFT,1267
575,12,GRAND LARCENY,63
576,12,F.C.A. P.I.N.O.S.,25
577,12,GAMBLING,30
578,12,ASSAULT 3 & RELATED OFFENSES,970
579,12,OTHER STATE LAWS (NON PENAL LA,51
580,12,FORGERY,59
581,12,MURDER & NON-NEGL. MANSLAUGHTER,26
582,12,DANGEROUS DRUGS,3979
583,12,BURGLARY,40
584,12,INTOXICATED & IMPAIRED DRIVING,82
585,12,OFFENSES AGAINST THE PERSON,58
586,12,FRAUDS,55
587,12,OTHER STATE LAWS (NON PENAL LAW),57
588,12,DISORDERLY CONDUCT,31
589,12,LOITERING FOR DRUG PURPOSES,1
590,12,HARASSMENT,18
591,12,POSSESSION OF STOLEN PROPERTY,17
592,12,ALCOHOLIC BEVERAGE CONTROL LAW,7
593,12,POSSESSION OF STOLEN PROPERTY 5,157
594,12,PETIT LARCENY,284
595,12,MOVING INFRACTIONS,7
596,12,OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV,257
597,12,INTOXICATED/IMPAIRED DRIVING,7
598,12,CHILD ABANDONMENT/NON SUPPORT 1,2
599,12,FELONY ASSAULT,291
600,12,THEFT-FRAUD,6
601,12,VEHICLE AND TRAFFIC LAWS,310
602,12,OFFENSES AGAINST PUBLIC ADMINISTRATION,391
603,12,PROSTITUTION & RELATED OFFENSES,245
604,12,OFFENSES AGAINST PUBLIC SAFETY,2
605,12,CRIMINAL MISCHIEF & RELATED OFFENSES,193
606,12,ARSON,3
607,12,OTHER STATE LAWS,181
608,12,CRIMINAL MISCHIEF & RELATED OF,3
609,12,GRAND LARCENY OF MOTOR VEHICLE,13
